wavelength,n_amorphous,n_crystalline,k_amorphous,k_crystalline
1433.79187,2.91456,3.49894,0.000922,0.0
1437.24292,2.91424,3.49844,0.000973,0.0
1440.6936,2.91391,3.49794,0.00102,0.0
1444.14416,2.91359,3.49744,0.00107,0.0
1447.59448,2.91328,3.49694,0.00112,0.0
1451.04443,2.91296,3.49644,0.00117,0.0
1454.49426,2.91265,3.49594,0.00121,0.0
1457.94373,2.91234,3.49544,0.00126,0.0
1461.39307,2.91204,3.49494,0.0013,0.0
1464.84216,2.91173,3.49444,0.00135,0.0
1468.29102,2.91143,3.49394,0.00139,0.0
1471.7395,2.91113,3.49344,0.00143,0.0
1475.18787,2.91084,3.49294,0.00147,0.0
1478.63599,2.91054,3.49244,0.00151,0.0
1482.08374,2.91025,3.49194,0.00155,0.0
1485.53125,2.90996,3.49144,0.00158,0.0
1488.97852,2.90967,3.49094,0.00162,0.0
1492.42554,2.90938,3.49044,0.00166,0.0
1495.87231,2.9091,3.48994,0.00169,0.0
1499.31873,2.90882,3.48944,0.00173,0.0
1502.76489,2.90854,3.48894,0.00176,0.0
1506.21094,2.90826,3.48844,0.00179,0.0
1509.65649,2.90798,3.48794,0.00183,0.0
1513.10193,2.90771,3.48744,0.00186,0.0
1516.54712,2.90744,3.48694,0.00189,0.0
1519.99194,2.90717,3.48644,0.00192,0.0
1523.4364,2.9069,3.48594,0.00195,0.0
1526.88062,2.90663,3.48544,0.00198,0.0
1530.32459,2.90637,3.48494,0.002,0.0
1533.76831,2.9061,3.48444,0.00203,0.0
1537.21167,2.90584,3.48394,0.00206,0.0
1540.65478,2.90558,3.48344,0.00208,0.0
1544.09753,2.90532,3.48294,0.00211,0.0
1547.54004,2.90507,3.48244,0.00214,0.0
1550.98218,2.90481,3.48194,0.00216,0.0
1554.42407,2.90456,3.48144,0.00218,0.0
1557.86572,2.9043,3.48094,0.00221,0.0
1561.30701,2.90405,3.48044,0.00223,0.0
1564.74792,2.90381,3.47994,0.00225,0.0
1568.18872,2.90356,3.47944,0.00228,0.0
1571.62903,2.90331,3.47894,0.0023,0.0
1575.06897,2.90307,3.47844,0.00232,0.0
1578.50867,2.90283,3.47794,0.00234,0.0
1581.948,2.90258,3.47744,0.00236,0.0
1585.38709,2.90234,3.47694,0.00238,0.0
1588.82593,2.9021,3.47644,0.0024,0.0
1592.26428,2.90187,3.47594,0.00242,0.0
1595.70239,2.90163,3.47544,0.00243,0.0
1599.14014,2.90139,3.47494,0.00245,0.0
1602.57751,2.90116,3.47444,0.00247,0.0
1606.01453,2.90093,3.47394,0.00249,0.0
1609.45129,2.9007,3.47344,0.0025,0.0
1612.88769,2.90047,3.47294,0.00252,0.0
1616.32373,2.90024,3.47244,0.00254,0.0
1619.75952,2.90001,3.47194,0.00255,0.0
1623.19482,2.89979,3.47144,0.00257,0.0
1626.62976,2.89956,3.47094,0.00258,0.0
1630.06445,2.89933,3.47044,0.0026,0.0
1633.49878,2.89911,3.46994,0.00261,0.0
1636.93274,2.89889,3.46944,0.00263,0.0
1640.36646,2.89867,3.46894,0.00264,0.0
1643.79956,2.89845,3.46844,0.00265,0.0
1647.23242,2.89823,3.46794,0.00266,0.0
1650.66479,2.89801,3.46744,0.00268,0.0
1654.09705,2.8978,3.46694,0.00269,0.0
1657.52869,2.89758,3.46644,0.0027,0.0
1660.96021,2.89737,3.46594,0.00272,0.0
1664.39124,2.89715,3.46544,0.00273,0.0
1667.8219,2.89694,3.46494,0.00274,0.0
1671.2522,2.89673,3.46444,0.00275,0.0
1674.68201,2.89652,3.46394,0.00276,0.0
1678.11157,2.89631,3.46344,0.00277,0.0
1681.54065,2.8961,3.46294,0.00278,0.0
1684.96936,2.89589,3.46244,0.00279,0.0
1688.39771,2.89568,3.46194,0.0028,0.0
,,,0.00281,0.0
,,,0.00282,0.0
,,,0.00283,0.0
,,,0.00284,0.0
,,,0.00285,0.0
,,,0.00286,0.0
,,,0.00287,0.0
,,,0.00288,0.0
