g_nm,t_pcm_nm,t_gap_pcm_nm,D_antisym,D_sym,delta_D,Amax_antisym,Amax_sym,Omega_antisym,Omega_sym,eta_pcm_avg_antisym,eta_pcm_avg_sym,loss_eff_antisym,loss_eff_sym,sym_mode1,sym_mode2,antisym_mode1,antisym_mode2,L_corrected_design_um,theta_tail_rad,P_antisym,P_sym,ER_dB
200.00000000000003,5.0,0.0,0.6760746390993323,0.6752260287500041,-0.0008486103493281494,0.5429230823667076,0.5440698100984986,516931.91800286196,504410.4883722943,0.002942137898516388,0.0028343640685975367,0.49802879656507304,0.0,1,3,1,3,-25.2030608493037,14.283484558268826,0.4907666144975283,0.5440698100984986,0.44779616797406463
210.0,5.0,0.0,0.6831549825338742,0.6824285624402752,-0.0007264200935990228,0.5332992698391421,0.5342912571656995,516111.6051607005,503495.55592477677,0.002939141124987905,0.0028335265423910017,0.43629426529373894,0.0,1,3,1,3,-25.265508190551653,14.291867418918706,0.48104741105610865,0.5342912571656995,0.45590186030758917
220.0,5.0,0.0,0.6893605202646176,0.6887403717663677,-0.0006201484982498728,0.5247820731004957,0.5256367002991256,515441.93013008474,502742.78832722304,0.0029368577403471514,0.002833060991385201,0.3821563810663594,0.0,1,3,1,3,-25.318578850082876,14.29952925436822,0.47248036133786364,0.5256367002991256,0.46301918580230206
230.00000000000003,5.0,0.0,0.6947982684984617,0.6942702206208768,-0.0005280478775848696,0.5172553660915395,0.517988860759039,514894.81322864204,502122.6733354229,0.0029351581523517985,0.0028328924121629063,0.33470120241561996,0.0,1,3,1,3,-25.3636991384222,14.306484743854814,0.46493649982719465,0.517988860759039,0.46926778636759736
240.00000000000003,5.0,0.0,0.6995614644271354,0.6991129879953679,-0.0004484764317674861,0.5106137574885617,0.5112410300161885,514447.6433728655,501611.3542772561,0.0029339377189202265,0.002832961322063848,0.29311939283450394,0.0,1,3,1,3,-25.402172756815965,14.312814604926173,0.4583001171137695,0.5112410300161885,0.47475732940560644
250.00000000000003,5.0,0.0,0.7037335908749016,0.7033536587263977,-0.0003799321485039586,0.5047590330743166,0.5052936307561902,514082.18759640685,501189.51086804096,0.0029330805940003283,0.0028331917565649688,0.25669299670730383,0.0,1,3,1,3,-25.435010312867572,14.318556704424573,0.4524657225544638,0.5052936307561902,0.47958140035138236
260.0,5.0,0.0,0.707387948625976,0.7070669096181851,-0.000321039007790902,0.4996022901387336,0.5000563853229893,513783.61502628046,500841.36402099056,0.0029325207561616932,0.0028335488078848653,0.22479091092193926,0.0,1,3,1,3,-25.502428251744952,14.343467278246287,0.4471831125039341,0.5000563853229893,0.4853358282366272
270.0,5.0,0.0,0.7105876687308029,0.7103171107617621,-0.00027055796904085216,0.4950651650477227,0.49544960215906264,513539.8424837665,500554.0010925864,0.002932206153325931,0.0028340063593865253,0.19685719028596788,0.0,1,3,1,3,-24.853117078719436,14.011123520170402,0.4453149268829367,0.49544960215906264,0.4633223115858265
280.0,5.0,0.0,0.7133895649489344,0.7131621732266028,-0.00022739172233154914,0.49107532862197023,0.491399714678709,513341.05379884935,500316.8777367368,0.0029320622904647274,0.002834514133136243,0.17240063491679197,0.0,1,3,1,3,-24.87288598654849,14.015120983886671,0.44136175988249715,0.491399714678709,0.4664019732421795
290.00000000000006,5.0,0.0,0.7158434226186157,0.7156528624365566,-0.0001905601820590963,0.48756819429366605,0.48784098048636304,513179.1777346681,500121.28588627133,0.002932058860201813,0.002835059853319579,0.15099113473727815,0.0,1,3,1,3,-24.238340923446255,13.692906557178674,0.44037323261639194,0.48784098048636304,0.44457366682702726
300.00000000000006,5.0,0.0,0.7179915459765301,0.7178323470789659,-0.00015919889756421668,0.4844881399062322,0.484716721487103,513047.5857241069,499960.0382969058,0.0029321736062547818,0.0028356363061894743,0.13225097173369837,0.0,1,3,1,3,-24.100925218989605,13.620295822271803,0.4378955557909208,0.484716721487103,0.4411746447722159
200.00000000000003,10.0,0.0,0.6705812337005099,0.6682380010860203,-0.0023432326144896543,0.5503208090087022,0.55345797390456,489419.45390432485,465246.72714380495,0.00590202650123865,0.005573163226585821,1.0694916157159342,0.0,1,3,1,3,-27.32461614403687,14.283484558268826,0.34340728695148653,0.55345797390456,2.0727514243219707
210.0,10.0,0.0,0.6783812670770208,0.6763576869904419,-0.002023580086578991,0.5397988564789757,0.5425402792489395,488278.9939049606,463905.10449133563,0.00589384140516965,0.005571644204960895,0.9359229265086237,0.0,1,3,1,3,-27.42170967502558,14.291867418918706,0.3326904849161451,0.5425402792489395,2.1239160654050497
220.0,10.0,0.0,0.6852172607994944,0.6834739646320872,-0.0017432961674072045,0.5304773055024377,0.5328633396700964,487333.27517372515,462783.2698671486,0.00588741081524463,0.005570802227003449,0.818828084280879,0.0,1,3,1,3,-27.50473873272767,14.29952925436822,0.32337034381284235,0.5328633396700964,2.1691565395915986
230.00000000000003,10.0,0.0,0.6912050429132347,0.6897065563447597,-0.0014984865684749549,0.5222355886513134,0.5243048661350527,486547.7196618228,461843.48174599954,0.005882424680028984,0.005570502906050313,0.7162425858117648,0.0,1,3,1,3,-27.57576737667194,14.306484743854814,0.31526453152933603,0.5243048661350527,2.209087747716263
240.00000000000003,10.0,0.0,0.6964484620033188,0.6951630635243895,-0.0012853984789292783,0.5149595397732118,0.5167483151113856,485894.32771549595,461054.98934779334,0.0058785785683673816,0.005570593373891167,0.6264133605630258,0.0,1,3,1,3,-27.63665630461149,14.312814604926173,0.30821171251618795,0.5167483151113856,2.244299307085062
250.00000000000003,10.0,0.0,0.7010391194317401,0.6999386506997138,-0.001100468732026294,0.5085441530263703,0.510085885256664,485350.2545707126,460392.5550349044,0.0058756703371747425,0.005570990840339292,0.5477902186821201,0.0,1,3,1,3,-27.688893398076807,14.318556704424573,0.30207299680710487,0.510085885256664,2.2753140205292803
260.0,10.0,0.0,0.7050566051098801,0.7041162131716497,-0.0009403919382303672,0.5028951835909306,0.5042203583488158,484896.7979300869,459835.38976960443,0.005873536608560041,0.005571630874789588,0.47900203312512996,0.0,1,3,1,3,-27.776615796907233,14.343467278246287,0.2961971386875947,0.5042203583488158,2.3103951787301233
