g_nm,t_pcm_nm,t_gap_pcm_nm,D_antisym,D_sym,delta_D,Amax_antisym,Amax_sym,Omega_antisym,Omega_sym,eta_pcm_avg_antisym,eta_pcm_avg_sym,loss_eff_antisym,loss_eff_sym,sym_mode1,sym_mode2,antisym_mode1,antisym_mode2,L_design_um,P_antisym,P_sym,ER_dB
200.00000000000003,5.0,0.0,0.035891144340449266,0.02507021851785396,-0.010820925822595306,0.998711825757933,0.9993714841434671,89651.14327906785,88988.81674243251,0.004588346387915537,0.004650461673391456,2.2569016440674505,0.0,1,2,1,2,17.651614936530493,0.9976597494102132,0.9993714841434671,0.007445022578506183
200.00000000000003,5.0,5.0,0.029242968189788277,0.025186733173979348,-0.004056235015808929,0.999144848811451,0.9993656284720228,89807.06436133558,89276.04907444329,0.004322643909119981,0.004369671928270519,2.0131038656107454,0.0,1,2,1,2,17.59482350619123,0.9982431524502887,0.9993656284720228,0.004880687332475691
200.00000000000003,5.0,10.0,0.024995003709391173,0.025260549403853583,0.00026554569446241016,0.9993752497895675,0.9993619046438155,89910.61124129724,89455.89672697702,0.003923822033270324,0.003968321995156958,1.8537186404008668,0.0,1,2,1,2,17.559449787743226,0.9985628368769524,0.9993619046438155,0.003473912035893724
200.00000000000003,5.0,15.000000000000002,0.02105069633365725,0.02533147549900039,0.00428077916534314,0.9995568681838681,0.9993583163490436,90002.01198698443,89612.74327322967,0.0035757641930838015,0.0036171161326116626,1.7065959318924826,0.0,1,2,1,2,17.5287159997494,0.9988221000249254,0.9993583163490436,0.002330878576855974
200.00000000000003,5.0,20.0,0.017398937929300418,0.025396240518710145,0.007997302589409727,0.9996972769589324,0.9993550309675159,90083.51326258837,89750.54805446658,0.003266493079829117,0.0033046969829034923,1.5710226234698914,0.0,1,2,1,2,17.501802059655763,0.9990306289167546,0.9993550309675159,0.0014099983264428003
200.00000000000003,5.0,25.000000000000004,0.013888834052291965,0.0254080030899273,0.011519169037635335,0.9998071002886679,0.9993544333789822,90156.46302359976,89872.0352873575,0.0029890070389677423,0.003024231122339454,1.4462226521589978,0.0,1,2,1,2,17.478143471130043,0.9992006566687615,0.9993544333789822,0.0006683266041398394
200.00000000000003,5.0,30.000000000000004,0.010678009345179207,0.025417538718126464,0.014739529372947258,0.9998859801164243,0.9993539487255125,90221.80935311876,89979.28464368988,0.0027384980122482066,0.0027709558982823533,1.3313859972833284,0.0,1,2,1,2,17.457310680065007,0.999333094258063,0.9993539487255125,9.062929755227564e-05
200.00000000000003,5.0,35.0,0.007738654121444533,0.02542608724257739,0.017687433121132856,0.9999401132323886,0.9993535140875328,90280.30668114653,90073.99539766731,0.0025113889061430896,0.0025412989215316505,1.2257486078348463,0.0,1,2,1,2,17.438954715620135,0.9994351310662561,0.9993535140875328,-0.00035467285242783036
200.00000000000003,5.0,40.0,0.00504636721236551,0.025434019867696167,0.020387652655330657,0.999974534177958,0.9993531106333696,90332.59771767743,90157.60631389503,0.0023048738694559246,0.0023324444109884077,1.1285887367473268,0.0,1,2,1,2,17.422782070388735,0.9995125963616168,0.9993531106333696,-0.0006930307686473559
200.00000000000003,5.0,45.00000000000001,0.0025792422092963396,0.02544146843409023,0.02286222622479389,0.9999933475096258,0.9993527316839171,90379.25031509824,90231.35992484394,0.0021166665842408915,0.0021420910950937706,1.0392320319852018,0.0,1,2,1,2,17.40854097847194,0.9995702390247196,0.9993527316839171,-0.0009451313496415851
200.00000000000003,5.0,50.00000000000001,0.0003175036376419915,0.025448474894883166,0.025130971257241175,0.9999998991914401,0.9993523751255246,90420.77574959387,90296.34183395223,0.0019448515047141314,0.0019683073207286653,0.9570523523102177,0.0,1,2,1,2,17.396012893672545,0.999611933802189,0.9993523751255246,-0.0011278330597058073
210.0,5.0,0.0,0.04230988413264514,0.02387310194306469,-0.018436782189580447,0.9982098737046822,0.999430075003616,82842.87662253072,82169.3511395171,0.004584729952956128,0.004646862819612721,2.254981604425722,0.0,1,2,1,2,19.11657211613863,0.997054246449789,0.999430075003616,0.010336266674790377
210.0,5.0,5.0,0.0351093971403606,0.0239883350359818,-0.011121062104378798,0.9987673302324405,0.9994245597822015,82979.56479031261,82439.65040012875,0.0043191076881613395,0.004366172533790772,2.011764479358638,0.0,1,2,1,2,19.053893595750175,0.9977805768245889,0.9994245597822015,0.007149720126405652
210.0,5.0,10.0,0.030507501247321323,0.02406228829718865,-0.006445212950132673,0.9990692923676446,0.999421006281903,83071.26772368343,82609.08222193083,0.003920720760752642,0.003965230207530402,1.8526637332031481,0.0,1,2,1,2,19.014813922940377,0.9981821209038032,0.999421006281903,0.0053868673419601
210.0,5.0,15.000000000000002,0.02623425615149777,0.02413298429931715,-0.0021012718521806195,0.9993117638041776,0.9994175990688089,83152.63190747744,82757.06848453436,0.0035729276014863005,0.003614274218068404,1.7057531463723017,0.0,1,2,1,2,18.980811615970264,0.9985107662691991,0.9994175990688089,0.003942408694494568
210.0,5.0,20.0,0.022277311829126567,0.024197465979680755,0.0019201541505541875,0.9995037213776679,0.9994144826401622,83225.56673145211,82887.2615004883,0.0032638353115324505,0.003302024550068753,1.5703359897390605,0.0,1,2,1,2,18.95099799847583,0.998778005093671,0.9994144826401622,0.00276668736712545
