pull_away_um,kappa_per_m,dneff,D
0.0,71523.13967563592,0.0352881097969715,0.01926967014657255
0.023076923076923075,71307.73004519448,0.035181830923801005,0.01741976882079077
0.04615384615384615,70703.61824239744,0.03488377404705556,0.016141182876971805
0.06923076923076923,69693.49622415753,0.03438539971883614,0.015564403399219828
0.0923076923076923,68289.59574375153,0.033692742845532475,0.017468707399274364
0.11538461538461538,66573.17754323944,0.032845895878356846,0.014573399349730565
0.13846153846153847,64504.204308155575,0.03182510519414272,0.015007240208752881
0.16153846153846152,62170.268927759076,0.03067358740093651,0.014372538321055894
0.1846153846153846,59593.86279074718,0.02940243930737152,0.012599417040663474
0.2076923076923077,56798.964286080205,0.02802349137875204,0.014723414966836268
0.23076923076923075,53882.6520241995,0.0265846402913108,0.011054498394015122
0.25384615384615383,50825.650113088304,0.025076375699207176,0.010528148818648664
0.27692307692307694,47705.46034166569,0.023536935460136466,0.011173315418623375
0.3,44566.96635789186,0.02198846428285295,0.013119071905361601
0.32307692307692304,41423.091789529215,0.020437338431003926,0.009220400404203466
0.34615384615384615,38342.76719884958,0.01891756688770796,0.006033453859281335
0.3692307692307692,35323.26846047984,0.017427805623106973,0.004049180217831905
0.3923076923076923,32400.060794590914,0.015985552479004905,0.0073017966301233694
0.4153846153846154,29624.680457224524,0.014616234430083974,0.00023749626540525703
0.43846153846153846,26962.231033552398,0.013302634271904257,0.0003161621765570555
0.4615384615384615,24462.781950910037,0.012069455274726248,0.002437712441639983
0.48461538461538456,22120.61088497606,0.01091387415632461,0.009143277904606395
0.5076923076923077,19924.40712005731,0.009830310432130673,7.752327244836543e-05
0.5307692307692308,17917.806289035114,0.008840293064815263,0.015752094595634925
0.5538461538461539,16053.346086338017,0.007920405086697446,0.021012690982841753
0.5769230769230769,14332.449982712516,0.0070713488102347455,0.00765883447732113
0.6,12773.755247302224,0.006302319497307973,0.0013925517054386716
0.6230769230769231,11415.373704022211,0.005632120771932758,0.060684972068885235
0.6461538461538461,10073.162451118176,0.004969900149655704,0.03308874561485958
0.6692307692307693,9001.347948651332,0.00444108796360565,0.08582827656825015
0.6923076923076923,7889.194900784988,0.0038923735329734477,0.05518628354210864
0.7153846153846154,7009.754699077149,0.003458475041681286,0.08241311637776932
0.7384615384615384,6144.490667489994,0.0030315707937904612,0.05937708865304597
0.7615384615384615,5427.7888504087705,0.002677964219365059,0.08719911373045719
0.7846153846153846,4822.691173627417,0.0023794209317942183,0.1311347902419573
0.8076923076923076,4135.244483040345,0.002040248261145017,0.034215012031126646
0.8307692307692308,3753.3806173855673,0.0018518441435428912,0.16345909388209884
0.8538461538461538,3278.79383677963,0.0016176923641584295,0.1607146018043838
0.8769230769230769,3175.339890920189,0.0015666502228741663,0.30373939940766365
0.8999999999999999,2443.196479233179,0.0012054250695054947,0.11198324117972125
