pull_away_um,Omega_per_m,kappa_per_m,dneff,D,A_max
0.0,19297.683103408493,19297.093910678723,0.009521097133998069,0.00781425874300512,0.9999389373602974
0.023076923076923075,19254.834923550232,19254.249688076983,0.009499956685154576,0.007796633492098359,0.9999392125061899
0.04615384615384615,19113.433129770903,19112.85941580541,0.009430191822384248,0.007748008686715546,0.9999399683613905
0.06923076923076923,18906.146708800094,18905.59029044993,0.00932792078093092,0.007672042724723049,0.99994113976043
0.0923076923076923,18604.00249886061,18603.469471277236,0.00917884877286168,0.0075697848192149975,0.9999426983577908
0.11538461538461538,18209.16127826219,18208.65764272237,0.008984041883678184,0.007437469678748476,0.9999446840447777
0.13846153846153847,17775.190240311014,17774.719372876374,0.00876992911254737,0.007278708394846178,0.9999470204041028
0.16153846153846152,17246.46886698768,17246.034021438078,0.008509068390290864,0.007101166256887226,0.999949573437792
0.1846153846153846,16676.787783853088,16676.391789790396,0.008227998953153737,0.006891290467239908,0.9999525101156961
0.2076923076923077,16043.740809421563,16043.38320882228,0.007915666032064284,0.006676654115478353,0.9999554222898223
0.23076923076923075,15367.30543050151,15366.986058192699,0.007581926125928451,0.0064470718278515915,0.9999584352648465
0.25384615384615383,14664.913185216637,14664.632657544063,0.007235379612666293,0.006185303679331622,0.9999617420183945
0.27692307692307694,13929.72485604009,13929.479731571078,0.006872652156921344,0.005932464541184512,0.9999648058644676
0.3,13181.096604448621,13180.886320908638,0.006503293707906366,0.0056485910548400575,0.9999680934190952
0.32307692307692304,12422.430206180026,12422.25028261849,0.0061289826348356335,0.005382129735928387,0.9999710326795056
0.34615384615384615,11659.80196751585,11659.649687205356,0.005752716867668539,0.005110811572273943,0.9999738796050727
0.3692307692307692,10910.41895401677,10910.292402333198,0.005382986033979353,0.0048164492464568,0.9999768018166563
0.3923076923076923,10158.053057251851,10157.948481989775,0.0050117835043792525,0.0045375677495090305,0.9999794104789186
0.4153846153846154,9431.559432578855,9431.473869933738,0.004653345844755741,0.004259556281948962,0.9999818561802809
0.43846153846153846,8728.420297440762,8728.351884910904,0.004306430830736119,0.003959261135965564,0.9999843242512573
0.4615384615384615,8043.844176328124,8043.789996875123,0.003968674442583087,0.0036702846727622584,0.9999865290104208
0.48461538461538456,7398.889553366078,7398.847851620694,0.003650466522008511,0.0033574397647681,0.999988727598226
0.5076923076923077,6775.829286640483,6775.797999896256,0.003343060845998558,0.003038879325920285,0.9999907652124425
0.5307692307692308,6186.977570521473,6186.955226891625,0.003052532995756252,0.0026875230576791087,0.9999927772198144
0.5538461538461539,5638.535647756407,5638.521178819241,0.002781942542434912,0.002265425941444632,0.9999948678453038
0.5769230769230769,5115.861076872802,5115.853156830644,0.002524065193522773,0.0017596212785199183,0.9999969037329561
0.6,4635.499590747542,4635.496827069858,0.0022870642880605807,0.0010919691158619016,0.9999988076034501
0.6230769230769231,4188.052947285981,4188.052873591201,0.002066302918322549,0.00018759759918551833,0.9999999648071408
0.6461538461538461,3774.570751343885,3774.568441102089,0.001862298938692053,0.0011063941342182582,0.9999987758920198
0.6692307692307693,3394.7600724735594,3394.744385014276,0.0016749078230500203,0.003040088728129442,0.999990757860525
0.6923076923076923,3046.053100175462,3045.999094993805,0.0015028626642212828,0.005954729713515405,0.999964541194039
0.7153846153846154,2727.6369925935555,2727.487583786938,0.0013457624220278852,0.01046655748615083,0.9998904511743891
0.7384615384615384,2437.433039205971,2437.060047788289,0.0012025815015999086,0.017493691168387004,0.9996939707693051
0.7615384615384615,2175.275542066297,2174.3095698324146,0.0010732381508309352,0.029798332473114864,0.9991120593818217
0.7846153846153846,1938.1765819738423,1935.9399633637559,0.0009562581891788824,0.04802738778291138,0.9976933700227498
0.8076923076923076,1739.8644266933024,1728.3126438098375,0.0008584148738357555,0.11504287634131355,0.9867651366031173
0.8307692307692308,1625.0230983464508,1572.05291768501,0.000801754422095069,0.25324021282532994,0.9358693946081816
0.8538461538461538,1491.7470063839723,1417.5461542079306,0.0007359986207164937,0.31146052731346136,0.9029923399256206
0.8769230769230769,1368.388152852703,1277.5708373543935,0.0006751357896441768,0.35823381575144936,0.8716685332521567
0.8999999999999999,1262.4864413918265,1155.422051577596,0.0006228859689754174,0.40300991486171117,0.8375830085231564
