pull_away_um,kappa_per_m,dneff,D
0.0,125112.7725618931,0.061728180211187755,0.014392144737437385
0.023076923076923075,124703.1057786918,0.061526058681129925,0.015950585560245367
0.04615384615384615,123457.02858036222,0.06091126870980634,0.01607697449393941
0.06923076923076923,121413.20287580966,0.059902885322343113,0.015912911512138528
0.0923076923076923,118612.27388292117,0.05852096206949353,0.016592274288987796
0.11538461538461538,115136.62675022156,0.05680614616249535,0.01616443869894013
0.13846153846153847,111043.87504167612,0.05478686300018065,0.017104346756438515
0.16153846153846152,106412.41296106688,0.05250179074017858,0.017481882127261483
0.1846153846153846,101358.03717807445,0.05000806118084622,0.01632180636546443
0.2076923076923077,95981.70048134727,0.047355482441713725,0.017575874276358316
0.23076923076923075,90351.91635166845,0.04457785772609979,0.017407629564963167
0.25384615384615383,84589.13743582138,0.041734615999851066,0.017487517141360043
0.27692307692307694,78756.44674405864,0.038856881178978675,0.01789893732938108
0.3,72967.81237720302,0.03600088288194492,0.015719181262201343
0.32307692307692304,67292.74650741392,0.033200917046742884,0.017584305528008937
0.34615384615384615,61751.70053828088,0.030467073993493354,0.017307998042502826
0.3692307692307692,56433.64395060669,0.027843249513423984,0.01612191274550323
0.3923076923076923,51342.485428431595,0.025331372074331338,0.016781696465516138
0.4153846153846154,46559.963595953916,0.02297176990507177,0.014618737290384154
0.43846153846153846,42053.09582590814,0.020748170026332335,0.016351816390474838
0.4615384615384615,37839.44953489879,0.018669239855801933,0.01615518307049635
0.48461538461538456,33950.32213967395,0.016750420923083098,0.01208817247712124
0.5076923076923077,30359.852209387485,0.014978953707056597,0.010005710768948739
0.5307692307692308,27068.69979895269,0.013355163865829134,0.00712501967586332
0.5538461538461539,24075.16236502596,0.011878211398014926,0.009875272515570077
0.5769230769230769,21396.54947293901,0.010556636502558447,0.04661918871693832
0.6,18968.692526872488,0.00935877965689036,0.05855817894020754
0.6230769230769231,16683.08793368511,0.008231107323116493,0.022775867065270072
0.6461538461538461,14715.32146150328,0.007260250064331952,0.04291343381743451
0.6692307692307693,12937.579649754585,0.006383147234001019,0.04521310079233187
0.6923076923076923,11375.242869450141,0.005612321007785859,0.06784896624653208
0.7153846153846154,9908.136710475414,0.004888479696337544,0.01250532914023117
0.7384615384615384,8720.17156623189,0.004302361069063121,0.07388028972422703
0.7615384615384615,7562.561508264651,0.003731219044078138,0.001590898103643379
0.7846153846153846,6592.314417048723,0.0032525182202567393,0.004258686108697174
0.8076923076923076,5778.474734895108,0.0028509857345295764,0.07733103925664417
0.8307692307692308,5180.4063998321835,0.002555910585850363,0.16077108798054351
0.8538461538461538,4326.629368623103,0.0021346737979230923,0.0013075089721974187
0.8769230769230769,3746.706161383093,0.0018485510982806375,0.00937468400361366
0.8999999999999999,3255.651046543844,0.0016062741668232405,0.04001470300518045
