pull_away_um,kappa_per_m,dneff,D
0.0,545066.6159572271,0.2689251433562898,0.6929207712483832
0.023076923076923075,545110.654589343,0.26894687115085336,0.6928452254448523
0.04615384615384615,545113.3546577862,0.2689482033114956,0.6931575844678123
0.06923076923076923,544961.8310689965,0.2688734445542278,0.6944300201485522
0.0923076923076923,544909.3410093399,0.2688475469916094,0.6954035069100827
0.11538461538461538,544765.8928038783,0.2687767724695811,0.6966406436160876
0.13846153846153847,544645.9527234373,0.2687175963938824,0.6987907926130086
0.16153846153846152,544571.8329823273,0.26868102717202946,0.7005418225713089
0.1846153846153846,544377.5278560461,0.26858516084595063,0.7029654529214295
0.2076923076923077,544323.1465568714,0.2685583301829668,0.7050077652135335
0.23076923076923075,544292.464817522,0.2685431924164785,0.707125836373299
0.25384615384615383,544138.2572818716,0.2684671094526401,0.7096955589877966
0.27692307692307694,544149.8771866147,0.26847284248500225,0.7118309673732403
0.3,544017.6800647059,0.2684076190262179,0.7143011312684512
0.32307692307692304,544090.9693296438,0.26844377850746826,0.7163545334945558
0.34615384615384615,544157.9910679993,0.2684768457144253,0.718248128136001
0.3692307692307692,544092.2454296991,0.2684444081101265,0.7204371617477051
0.3923076923076923,544150.3206447025,0.2684730612784971,0.7219484026900038
0.4153846153846154,544247.2884897379,0.268520903305258,0.7234905438215967
0.7153846153846154,544389.8344472913,0.26859123267592144,0.7321088328376109
0.7384615384615384,544448.1177887501,0.26861998852978997,0.7325908254358429
0.7846153846153846,544665.764033209,0.2687273709043081,0.732859642060025
0.8076923076923076,545037.1374828131,0.26891059925704464,0.732940562103825
0.8307692307692308,545421.0833491092,0.26910003059279686,0.7329836848654925
0.8538461538461538,545748.5755303303,0.26926160879113925,0.7330163941476493
0.8769230769230769,546137.2765267778,0.2694533862145443,0.7330432967238214
0.8999999999999999,546461.5810692775,0.2696133916946628,0.7330637864683823
