gap,loss(TE),loss(TM)
200,299.140,59.603
250,193.520,34.245
300,120.130,19.941
350,71.890,11.696
400,41.845,6.887
450,23.910,4.063
500,13.510,2.400
550,7.587,1.419
600,4.249,0.839
650,2.378,0.496
700,1.331,0.294
