gap,loss(TE),loss(TM)
200,327.484,119.702
250,244.67,79.3481
300,162.182,51.2314
350,99.6702,32.6823
400,58.6911,21.0115
450,33.7467,13.6538
500,18.3412,8.6281
550,9.65219,5.29535
600,5.10134,3.2601
650,2.72951,2.00352
700,1.42482,1.186
