Gap,neff,E2dens,VpiL,Loss
3.0000000000000004E-7,2.402841557715722-4.1650013133276605E-4i,2945.837554000854,0.19893171169240467,293.3007230179137
3.2000000000000006E-7,2.4012584388437928-3.251143670592041E-4i,2786.8436093979863,0.2099614665487161,228.94657587944502
3.4000000000000003E-7,2.400028570499075-2.5347782221931135E-4i,2639.3539677378985,0.2214115980856061,178.49989215617197
3.6000000000000005E-7,2.399073445611702-1.97408810181947E-4i,2502.298777913077,0.2332870047533185,139.01591476380918
3.8000000000000007E-7,2.3983322968426606-1.5358695984841965E-4i,2374.8058643254794,0.24559035181750236,108.15642776754366
4.0000000000000003E-7,2.3977579549635464-1.193332824275323E-4i,2256.0350210424303,0.25832503564712667,84.0348787024323
4.2000000000000006E-7,2.3973134053496197-9.267480793691531E-5i,2145.239145212376,0.2714949477227554,65.26189580412546
4.4E-7,2.3969684858396425-7.194696273858123E-5i,2041.8288555876243,0.2850976557718807,50.66528099917713
4.6000000000000004E-7,2.3967021473795413-5.578001131035281E-5i,1945.0959768363018,0.2991441757362349,39.28046215717199
4.800000000000001E-7,2.396495686548191-4.3239657889083764E-5i,1854.5953258997808,0.3136295333207588,30.449505217041438
5.000000000000001E-7,2.396336674187111-3.349524475568233E-5i,1769.7741582896344,0.32856063980565536,23.587458359417667
5.200000000000001E-7,2.396213822841962-2.5958020021548433E-5i,1690.2047026502335,0.3439379699245374,18.27972062354709
5.400000000000001E-7,2.3961181320744482-2.009690154741471E-5i,1615.538801440313,0.3597620630801018,14.152302270385498
5.6E-7,2.396043857471502-1.5570412502375595E-5i,1545.364253436794,0.37603525460868675,10.964734224742015
5.800000000000001E-7,2.395987216017649-1.205291302552318E-5i,1479.329343979297,0.3927642681297578,8.487699856290224
6.0E-7,2.3959429462955213-9.331416474405695E-6i,1417.141675881809,0.4099511875298712,6.571213291017632
6.2E-7,2.3959092986688497-7.22530221139269E-6i,1358.5135545915073,0.4275987678255081,5.088080898901964
6.4E-7,2.3958837032070224-5.5928428728278745E-6i,1303.1937531983644,0.44570830528996,3.9384978177003327
6.6E-7,2.395862723445779-4.3287219918326906E-6i,1250.9750696937208,0.46428404736674156,3.0482998549974067
6.800000000000001E-7,2.3958477803256737-3.3504992664458206E-6i,1201.6001513229867,0.48332918950173664,2.3594322867917885
7.000000000000001E-7,2.395835223014359-2.59274919244599E-6i,1154.9085725180332,0.5028448365589705,1.8258222640053599
