Gap,neff,E2dens,VpiL,Loss
3.0000000000000004E-7,2.441534242228538-4.950039021689621E-4i,2630.4167372651614,0.22734967445243107,348.58332922552785
3.2000000000000006E-7,2.440763220875439-3.916196719074302E-4i,2464.7082030850447,0.24247518932083073,275.77982400854813
3.4000000000000003E-7,2.440252022451287-3.095091801814143E-4i,2312.4681609825816,0.2583129574755562,217.9573534284476
3.6000000000000005E-7,2.439933273773159-2.44358177183578E-4i,2172.3424267943533,0.2748761872036083,172.07780898878332
3.8000000000000007E-7,2.439756371208468-1.927891729235778E-4i,2043.3008634287655,0.29216514827005247,135.76275144877138
4.0000000000000003E-7,2.4396829360591807-1.519262118141712E-4i,1924.2914662093792,0.31018896595197387,106.98692369647176
4.2000000000000006E-7,2.439683757502888-1.1970491285573755E-4i,1814.3710894141113,0.32895335538690074,84.29658203716899
4.4E-7,2.4397347520744566-9.428345776271739E-5i,1712.8301637294182,0.3484543804040427,66.39471215037871
4.6000000000000004E-7,2.439821653343853-7.421723884747574E-5i,1618.7675872423986,0.36870859697788205,52.26401668758692
4.800000000000001E-7,2.4399293515294658-5.841621230242778E-5i,1531.6694561049392,0.38970616504866895,41.136883317285324
5.000000000000001E-7,2.440050947221191-4.5969960644195817E-5i,1450.8303300136715,0.41145868805249836,32.37219313929892
5.200000000000001E-7,2.4401788449120185-3.619815226354642E-5i,1375.7054842888938,0.43396693877237585,25.490854461047462
5.400000000000001E-7,2.440306691853667-2.8486533867032655E-5i,1305.9046621355694,0.4572293054154802,20.0603081510185
5.6E-7,2.4404320242294064-2.2440746738507138E-5i,1240.9315941497207,0.48124109690698447,15.802845541499677
5.800000000000001E-7,2.440553927451337-1.7672093442381318E-5i,1180.340406713996,0.5060192430119476,12.444744656633453
6.0E-7,2.440669544112302-1.3921868066794915E-5i,1123.7932371856182,0.5315615873943118,9.803823966837054
6.2E-7,2.440778947476923-1.0970978727961731E-5i,1070.9394355144732,0.5578765584434185,7.725798267646748
6.4E-7,2.440881637172622-8.64842735334418E-6i,1021.5044142587778,0.5849527006606005,6.090250170118485
6.6E-7,2.4409747933586052-6.818482487294596E-6i,975.2382224298317,0.6127973239154257,4.801597149583318
6.800000000000001E-7,2.441062699667821-5.378240206508655E-6i,931.8368980259387,0.6414195913102516,3.7873739345179045
7.000000000000001E-7,2.441142016320946-4.242324392425605E-6i,891.1216527511224,0.6708148488630391,2.987458389492887
