gap,loss(TE),loss(TM)
450,59.2455,13.7687
460,52.8444,12.7089
470,47.1189,11.7281
480,41.9924,10.8246
490,37.4161,10.0014
500,33.3278,9.23476
510,29.6717,8.51493
520,26.4111,7.8702
530,23.5051,7.26896
540,20.9149,6.70608
550,18.6054,6.18219
