gap,loss(TE),loss(TM)
350,28.510,6.279
360,25.230,5.568
370,22.316,4.939
380,19.726,4.383
390,17.428,3.453
400,15.390,3.064
410,13.585,2.726
420,11.987,2.422
430,10.574,2.153
440,9.319,1.914
450,8.219,1.91376
460,7.243,1.7017
470,6.382,1.5134
480,5.622,1.3462
490,4.951,1.1976
500,4.360,1.0656
510,3.839,0.9483
520,3.379,0.8440
530,2.974,0.7513
540,2.618,0.6689
550,2.304,0.5955


