Vdc,neff,K0,K1,K2
1,2.26831598020193-1.2698306628400113E-5i,3.988160738723587E-9,6.814207807307701E-9,2.9121780604541724E-9
3,2.2683159802019324-1.2698306625747185E-5i,3.589344664851229E-8,2.044262342192314E-8,2.9121780604541588E-9
5,2.2683159802019324-1.2698306627878798E-5i,9.970401846808951E-8,3.407103903653865E-8,2.9121780604541666E-9
7,2.2683159802019293-1.2698306629405224E-5i,1.9541987619745575E-7,4.769945465115391E-8,2.9121780604541646E-9
9,2.26831598020193-1.2698306629250082E-5i,3.2304101983660984E-7,6.132787026576943E-8,2.9121780604541695E-9
