g_nm,t_pcm_nm,t_gap_pcm_nm,D_antisym,D_sym,delta_D,Amax_antisym,Amax_sym,Omega_antisym,Omega_sym,eta_pcm_avg_antisym,eta_pcm_avg_sym,loss_eff_antisym,loss_eff_sym,sym_mode1,sym_mode2,antisym_mode1,antisym_mode2,L_corrected_design_um,theta_tail_rad,P_antisym,P_sym,ER_dB
200.00000000000003,10.0,0.0,0.028695273954134015,0.00862368018461479,-0.020071593769519225,0.9991765812526971,0.9999256321400735,154763.50666588,152482.34314689942,0.005382800355455272,0.00552869057532504,2.823802692162462,0.0,3,4,3,4,6.8082034666797115,0.5326655095747306,0.9984934954346134,0.9999256321400735,0.006224611908526393
200.00000000000003,10.0,5.0,0.02474273432481955,0.008579686780949447,-0.0161630475438701,0.9993877970981314,0.9999263889747408,155469.71304572115,153412.14646054863,0.004946403874782859,0.0050788584131654805,2.5484206985253524,0.0,3,4,3,4,6.76694017502148,0.5326655095747306,0.9987973841425386,0.9999263889747408,0.004906337007756733
200.00000000000003,10.0,10.0,0.021984687552243642,0.008570219907552579,-0.013414467644691064,0.9995166735132303,0.9999265513307362,155971.98295597246,154068.60918838787,0.004486216582048922,0.004607901508896074,2.352520692213487,0.0,3,4,3,4,6.738107280184429,0.5326655095747306,0.9989875857481612,0.9999265513307362,0.0040800912219126975
200.00000000000003,10.0,15.000000000000002,0.019456410525183376,0.008590397557645402,-0.010866012967537975,0.9996214480894755,0.9999262050698016,156444.36578229466,154682.06290996663,0.004087075500545661,0.004198768871055787,2.1724621739919847,0.0,3,4,3,4,6.711384614933758,0.5326655095747306,0.9991461261564633,0.9999262050698016,0.0033894119729009245
200.00000000000003,10.0,20.0,0.01714919253656433,0.008611284834440347,-0.008537907702123981,0.9997059051953439,0.9999258457735002,156887.8490593331,155254.68816637777,0.0037351231938263832,0.003837702636862192,2.0069006061934727,0.0,3,4,3,4,6.686631041425683,0.5326655095747306,0.9992778733160536,0.9999258457735002,0.002815229582272369
210.0,10.0,0.0,0.031325717064493774,0.008952567821488955,-0.02237314924300482,0.9990186994503952,0.9999198515294017,144125.50237310244,141940.73185977462,0.005376117740170756,0.005522074822237898,2.81634410358273,0.0,3,4,3,4,7.555807887340888,0.49831942547387353,0.9982572368281216,0.9999198515294017,0.007227232872809939
210.0,10.0,5.0,0.027051684756637717,0.008917048801973582,-0.018134635954664136,0.9992682063518274,0.9999204862406632,144782.71407164104,142816.3125965278,0.004940076149813442,0.0050725642016005695,2.5417408439623235,0.0,3,4,3,4,7.50948460874278,0.49831942547387353,0.9986113431302955,0.9999204862406632,0.005689713837124557
210.0,10.0,10.0,0.024071414852056217,0.008912556253851178,-0.015158858598205038,0.9994205669870202,0.9999205663410219,145250.7636163387,143434.52900224083,0.004480138293456627,0.004601833280908119,2.3463373305293427,0.0,3,4,3,4,7.477118018801929,0.49831942547387353,0.9988326914993307,0.9999205663410219,0.004727527878168667
210.0,10.0,15.000000000000002,0.021343291290812028,0.008935413622212895,-0.012407877668599132,0.9995444639168756,0.9999201583834,145691.35827813915,144012.11475462708,0.0040812289743417385,0.004192913993091116,2.166709336736317,0.0,3,4,3,4,7.447129730358776,0.49831942547387353,0.9990169112296697,0.9999201583834,0.003924838728756777
210.0,10.0,20.0,0.01885374664462769,0.008958671999111933,-0.009895074645515756,0.9996445362374602,0.9999197421960123,146105.33519950387,144551.1681758773,0.003729502982269945,0.003832059475902405,2.001527340798,0.0,3,4,3,4,7.419358244245569,0.49831942547387353,0.9991699176472253,0.9999197421960123,0.0032579297041706846
220.0,10.0,0.0,0.03424282771414405,0.009193703024712396,-0.025049124689431657,0.9988274287501394,0.9999154758246934,134237.0718672064,132139.9904245508,0.005369932618802075,0.005515946239828364,2.8090092820619335,0.0,3,4,3,4,8.35920825220246,0.46621062839203725,0.9979807953783807,0.9999154758246934,0.008411060342029942
220.0,10.0,5.0,0.02962710622389375,0.009165950822276447,-0.020461155401617304,0.9991222345767982,0.9999159853455236,134847.5056287373,132964.4334694573,0.004934226952968348,0.0050667416559977895,2.535243892991838,0.0,3,4,3,4,8.307377165312323,0.46621062839203725,0.9983934626487495,0.9999159853455236,0.006617827227828617
220.0,10.0,10.0,0.02641078274725084,0.009165641710950412,-0.017245141036300426,0.9993024705546775,0.9999159910120264,135282.9052258148,133546.56536157936,0.004474526988118847,0.004596227680601864,2.3403691415381465,0.0,3,4,3,4,8.271165158101793,0.46621062839203725,0.9986511516203885,0.9999159910120264,0.005497066672447757
220.0,10.0,15.000000000000002,0.02346981557810579,0.009190910515749606,-0.014278905062356184,0.9994491677567297,0.9999155271638915,135693.22677821902,134090.33640736807,0.004075844032428336,0.004187518556045802,2.1611943220979577,0.0,3,4,3,4,8.23762344101453,0.46621062839203725,0.9988653776472657,0.9999155271638915,0.004563523506864053
220.0,10.0,20.0,0.020786049181994004,0.009216299141481976,-0.011569750040512028,0.9995679401594038,0.9999150598301347,136079.13780319534,134597.74868148283,0.0037243371487468546,0.003826870345523543,1.9964067816529103,0.0,3,4,3,4,8.20656890047093,0.46621062839203725,0.9990432580327159,0.9999150598301347,0.0037881603688715276
230.00000000000003,10.0,0.0,0.03744990193232317,0.009358163888742388,-0.028091738043580783,0.9985975048452593,0.9999124247686314,125045.18106908696,123027.36539385586,0.005364230821333561,0.005510292314210313,2.8017593203370286,0.0,3,4,3,4,9.222370334195233,0.4361924018924031,0.9976579889544229,0.9999124247686314,0.009802802873758098
230.00000000000003,10.0,5.0,0.03247116826823526,0.009337159022039354,-0.023134009246195908,0.998945623231296,0.9999128174613972,125610.89007984105,123803.58569699017,0.004928833436221107,0.0050613689421124715,2.5288986371665887,0.0,3,4,3,4,9.164548171322288,0.4361924018924031,0.998138799380549,0.9999128174613972,0.007711977601255736
230.00000000000003,10.0,10.0,0.02900359589259932,0.009340673011413891,-0.01966292288118543,0.9991587914252988,0.9999127518276938,126015.12204060332,124351.70099877329,0.004469365082005295,0.004591068117283411,2.3345894518844768,0.0,3,4,3,4,9.124152832567093,0.4361924018924031,0.9984388206779476,0.9999127518276938,0.006406483122644781
230.00000000000003,10.0,15.000000000000002,0.025835867708059457,0.009368094710272667,-0.01646777299778679,0.9993325079397717,0.9999122388014994,126396.58711023907,124863.60500810665,0.0040709008249725015,0.004182563460276246,2.155893651577058,0.0,3,4,3,4,9.086746492933873,0.4361924018924031,0.9986880225301119,0.9999122388014994,0.005320427982532088
230.00000000000003,10.0,20.0,0.022945396154519737,0.009395074143519255,-0.013550322011000482,0.9994735087953122,0.9999117325818377,126755.76845229545,125341.1943884949,0.0037195990254943073,0.003822108930314038,1.991517809006663,0.0,3,4,3,4,9.052123130291784,0.4361924018924031,0.9988949135907137,0.9999117325818377,0.004418625642243562
240.00000000000003,10.0,0.0,0.040952460414485525,0.009455504691960659,-0.031496955722524866,0.998322895986,0.9999105934310203,116500.57185290492,114553.8583227134,0.005358984909631499,0.005505086715751507,2.7945440936034203,0.0,3,4,3,4,10.149536388277042,0.4081277733309842,0.9972816862145071,0.9999105934310203,0.011433256262846038
240.00000000000003,10.0,5.0,0.035587590942065095,0.009440668340878033,-0.02614692260118706,0.9987335233709402,0.9999108737812775,117023.47718131776,115284.63448013185,0.004923877116341383,0.005056428662737115,2.5226652178801814,0.0,3,4,3,4,10.08519963399187,0.4081277733309842,0.9978416918794365,0.9999108737812775,0.008996455505236185
240.00000000000003,10.0,10.0,0.03185253675088118,0.009447660637861233,-0.022404876113019945,0.9989854159025338,0.9999107417084718,117397.92014510857,115800.69285740798,0.004464631992472353,0.0045863348286006,2.3289640480208478,0.0,3,4,3,4,10.040255587205962,0.4081277733309842,0.9981909340410462,0.9999107417084718,0.007476127700689042
240.00000000000003,10.0,15.000000000000002,0.028443419540986614,0.009476685379298855,-0.01896673416168776,0.9991909718848154,0.9999101924342217,117751.83641200035,116282.56245085981,0.004066371322096657,0.004178021058759784,2.150777391061518,0.0,3,4,3,4,9.998649229588898,0.4081277733309842,0.9984808056450702,0.9999101924342217,0.0062127471700516995
240.00000000000003,10.0,20.0,0.025332549872514987,0.009505080249127662,-0.015827469623387325,0.9993582619169565,0.9999096534494576,118085.54795639079,116732.06400624699,0.003715265285215944,0.0038177523213452245,1.9868339576054972,0.0,3,4,3,4,9.96014731138217,0.4081277733309842,0.9987214715499565,0.9999096534494576,0.0051637432919772845
250.00000000000003,10.0,0.0,0.044757548706840955,0.009494618929246135,-0.03526292977759482,0.9979967618337547,0.9999098522113884,108557.52559561362,106673.98757576002,0.005354173925137425,0.005500309698190622,2.7873036135517113,0.0,3,4,3,4,11.145243159083204,0.3818887965140301,0.9968437251110028,0.9999098522113884,0.013337681146492648
250.00000000000003,10.0,5.0,0.03898192672453521,0.009485404072561099,-0.02949652265197411,0.998480409388843,0.9999100271095802,109039.401963552,107361.94962254427,0.0049193370952902524,0.005051900837796247,2.516495805424671,0.0,3,4,3,4,11.073825824332973,0.3818887965140301,0.9974956471983224,0.9999100271095802,0.01049914293168586
250.00000000000003,10.0,10.0,0.03496231787398085,0.009495248193699957,-0.025467069680280896,0.9987776363288787,0.99990984026174,109385.32091211402,107847.79382634505,0.004460298572355155,0.004581999096562747,2.323452039441039,0.0,3,4,3,4,11.023939276822187,0.3818887965140301,0.9979020148108726,0.99990984026174,0.008729428702771646
250.00000000000003,10.0,15.000000000000002,0.0312958823980381,0.009525687517185355,-0.021770194880852745,0.9990205677449282,0.9999092612773249,109712.9150698611,108301.3761131391,0.004062232097392118,0.004173868404958863,2.1458102194635624,0.0,3,4,3,4,10.977769377914935,0.3818887965140301,0.9982391165394124,0.9999092612773249,0.007260069578650979
250.00000000000003,10.0,20.0,0.02794999053335734,0.009555327521324541,-0.018394663012032797,0.9992187980291852,0.9999086957159602,110022.32772380019,108724.43015987173,0.0037113116962891046,0.0038137766044882074,1.9823241716142914,0.0,3,4,3,4,10.93505414130624,0.3818887965140301,0.998519027087506,0.9999086957159602,0.006040003422733532
260.0,10.0,0.0,0.04887399678926868,0.009483437212318646,-0.039390559576950035,0.9976113324378425,0.99991006441864,101173.6001916076,99345.52390809292,0.005349775290760361,0.005495939728037623,2.779968268617072,0.0,3,4,3,4,12.214343308969454,0.357355991572017,0.996334739996099,0.99991006441864,0.015556662435134759
260.0,10.0,5.0,0.04266169756553456,0.009479034552355603,-0.03318266301317896,0.9981799795608268,0.9999101479039553,101616.06725627604,99993.1467471985,0.00491518323222021,0.005047755822244918,2.5103350984021358,0.0,3,4,3,4,12.135235010562125,0.357355991572017,0.9970932068176555,0.9999101479039553,0.012252185537316078
260.0,10.0,10.0,0.038339071245006295,0.009491465264950594,-0.0288476059800557,0.9985301156160703,0.9999099120871242,101934.64139147839,100450.53230801396,0.004456341596232136,0.004578038253949769,2.318006636277061,0.0,3,4,3,4,12.079979143386492,0.357355991572017,0.9975658133629655,0.9999099120871242,0.010193161251498856
260.0,10.0,15.000000000000002,0.034398354716269675,0.00952313809122246,-0.024875216625047214,0.9988167531928137,0.9999093098408955,102237.04695323075,100877.47800535304,0.004058459200548129,0.004170081931923647,2.1409519089444675,0.0,3,4,3,4,12.028852814485395,0.357355991572017,0.9979576847050821,0.9999093098408955,0.008484852086160044
260.0,10.0,20.0,0.03080205158327548,0.009553601057420147,-0.021248450525855334,0.9990512336182612,0.9999087287068357,102523.23465329235,101275.62329773109,0.003707708848366967,0.003810152412727951,1.9779534149211542,0.0,3,4,3,4,11.981563733807844,0.357355991572017,0.9982831086974799,0.9999087287068357,0.007066368126177536
270.0,10.0,0.0,0.05331252236744927,0.009428734472277323,-0.043883787895171944,0.9971577749588202,0.9999110989662513,94309.38972081066,92529.24915290225,0.005345756632782635,0.00549194501589235,2.7724588939080785,0.0,3,4,3,4,13.362029822629687,0.33441774014828407,0.9957439615928865,0.9999110989662513,0.018137076217836973
270.0,10.0,5.0,0.046635820342715684,0.00942870483025543,-0.037207115512460254,0.9978251002609619,0.999911099525224,94713.94069590705,93138.88381429295,0.004911392737623197,0.005043971484630809,2.504120794873555,0.0,3,4,3,4,13.27456950323555,0.33441774014828407,0.9966258470547265,0.999911099525224,0.014292430798657737
270.0,10.0,10.0,0.04199058496387342,0.0094434690941827,-0.032547115869690724,0.9982367907743918,0.9999108208914672,95006.25161528672,93569.46874532755,0.004452737622861247,0.0045744293234037375,2.3125753340501163,0.0,3,4,3,4,13.213483022028505,0.33441774014828407,0.9971751785632968,0.9999108208914672,0.011898086622318097
270.0,10.0,15.000000000000002,0.0377577482337656,0.009475947680527896,-0.0282818005532377,0.9985743524483156,0.999910206415556,95284.50122472145,93971.32587136595,0.004055022982084212,0.004166632074669609,2.1361576773702624,0.0,3,4,3,4,13.156977143634728,0.33441774014828407,0.9976304727511379,0.999910206415556,0.009912951369143353
270.0,10.0,20.0,0.03389438874996181,0.009507116570755425,-0.024387272179206387,0.9988511704112665,0.9999096147345101,95548.46579561461,94346.02610599335,0.0037044326922505517,0.0038068558713589885,1.9736830610009468,0.0,3,4,3,4,13.104723512759287,0.33441774014828407,0.9980086281813259,0.9999096147345101,0.0082644845182075
280.0,10.0,0.0,0.05808518991252509,0.009336844671640698,-0.048748345240884394,0.9966261107128259,0.9999128233315776,87928.33650968214,86188.76809479238,0.005342094577312677,0.005488302964689462,2.7646869029161443,0.0,3,4,3,4,14.593857384725156,0.31296973705434683,0.9950590491940073,0.9999128233315776,0.02113284415457664
280.0,10.0,5.0,0.05091482223850774,0.009340774585774925,-0.041574047652732815,0.9974076808764212,0.9999127499301378,88296.32766786117,86762.63354761177,0.004907942854268663,0.005040525631437887,2.4977834486826875,0.0,3,4,3,4,14.497330686145046,0.31296973705434683,0.9960837974435267,0.9999127499301378,0.01666230313251698
280.0,10.0,10.0,0.045926410848587784,0.009357380527870052,-0.03656903032071773,0.9978907647865667,0.9999124394296567,88563.35191784575,87167.97245647562,0.004449456779772902,0.004571142566972771,2.3070999796981875,0.0,3,4,3,4,14.429916795054545,0.31296973705434683,0.9967219082628794,0.9999124394296567,0.013879669665685847
280.0,10.0,15.000000000000002,0.04138228928544552,0.009390539798798225,-0.03199174948664729,0.9982875061334957,0.9999118177622872,88818.40203522827,87546.2128512701,0.004051900134634621,0.004163495768729248,2.131378351113934,0.0,3,4,3,4,14.36757283695912,0.31296973705434683,0.997250596403537,0.9999118177622872,0.011573965412805427
