g_nm,t_pcm_nm,t_gap_pcm_nm,D_antisym,D_sym,delta_D,Amax_antisym,Amax_sym,Omega_antisym,Omega_sym,eta_pcm_avg_antisym,eta_pcm_avg_sym,loss_eff_antisym,loss_eff_sym,sym_mode1,sym_mode2,antisym_mode1,antisym_mode2,L_corrected_design_um,theta_tail_rad,P_antisym,P_sym,ER_dB
200.00000000000003,5.0,0.0,0.006254449348182423,0.01026527113206277,0.004010821783880347,0.999960881863351,0.9998946242085852,171888.36116910522,173946.04166856516,0.0027740148877713885,0.002807584890281667,1.471214553446751,0.0,3,4,3,4,5.9681198103846995,0.5326655095747306,0.9996079680611507,0.9998946242085852,0.0012452415352560522
200.00000000000003,5.0,5.0,0.004170636031772201,0.010334218351973123,0.006163582320200922,0.9999826057950905,0.9998932039310537,171631.76156922348,173626.7745965175,0.0026234291934062585,0.0026454882554899986,1.311901009999155,0.0,3,4,3,4,5.979094063301157,0.5326655095747306,0.9996597598367586,0.9998932039310537,0.001014061485572334
200.00000000000003,5.0,10.0,0.002842276147695333,0.010423412262832443,0.00758113611513711,0.9999919214663002,0.9998913524767991,171644.37019757548,173644.74474011018,0.0023909404165632494,0.002413381745287334,1.2221035453806004,0.0,3,4,3,4,5.978475298943892,0.5326655095747306,0.9996807126470986,0.9998913524767991,0.0009149929391588036
200.00000000000003,5.0,15.000000000000002,0.0016034462469931565,0.01050881084141142,0.008905364594418264,0.999997428960133,0.9998895648946994,171646.44280621226,173649.7319478708,0.0021956571472906464,0.002217665608212931,1.1401337484595415,0.0,3,4,3,4,5.97830359756507,0.5326655095747306,0.9996970946410754,0.9998895648946994,0.0008360604821895392
200.00000000000003,5.0,20.0,0.0003650264809425541,0.010677882767348157,0.010312856286405603,0.9999998667556682,0.9998859828196067,171643.18636550562,173647.96801136114,0.002027823259139439,0.0020492321051122225,1.0655575154903814,0.0,3,4,3,4,5.978364325877082,0.5326655095747306,0.9997095763483199,0.9998859828196067,0.0007662785296698285
200.00000000000003,5.0,25.000000000000004,0.0007752171314571177,0.010821926931412651,0.010046709799955533,0.9999993990383991,0.9998828858974912,171637.22273700943,173642.666195042,0.001881849900549711,0.0019026819045586281,0.9980409545837567,0.0,3,4,3,4,5.978546862751451,0.5326655095747306,0.9997182924245608,0.9998828858974912,0.0007149629434842957
200.00000000000003,5.0,30.000000000000004,0.0017286169660727935,0.010841693358524196,0.009113076392451402,0.9999970118833846,0.9998824576851197,171630.03736715083,173635.68971503008,0.0017540624803566787,0.0017744052890749193,0.9372262115674785,0.0,3,4,3,4,5.978787073809194,0.5326655095747306,0.9997242287480096,0.9998824576851197,0.0006873147091781044
200.00000000000003,5.0,35.0,0.0026173282203962867,0.010856744246825534,0.008239416026429247,0.9999931495929867,0.999882131104359,171622.5390745965,173628.20831912573,0.0016418617006729557,0.0016618263810547484,0.8825776344218281,0.0,3,4,3,4,5.979044691356252,0.5326655095747306,0.9997278686772922,0.999882131104359,0.000670083876159403
200.00000000000003,5.0,40.0,0.0034497606477401077,0.010869276241055714,0.0074195155933156065,0.9999880991514734,0.9998818588339956,171615.30041000823,173620.98457032832,0.0015433160091891014,0.0015630218119723489,0.8336967207043876,0.0,3,4,3,4,5.979293458041947,0.5326655095747306,0.9997295284179202,0.9998818588339956,0.0006616911633661451
210.0,5.0,0.0,0.00725599705977481,0.010618436252510521,0.003362439192735711,0.9999473505066685,0.9998872488115513,160059.34290449868,161948.73977497453,0.0027532687617948023,0.0027862804576939387,1.461274451482267,0.0,3,4,3,4,6.6223232290119345,0.49831942547387353,0.9995680613891549,0.9998872488115513,0.0013865910051607628
210.0,5.0,5.0,0.005029326600466344,0.01068208772090845,0.005652761120442107,0.9999747058739459,0.9998858930019228,159824.29617788826,161659.30097758392,0.002600363303083376,0.002621824081743418,1.3014738637508712,0.0,3,4,3,4,6.634179999762187,0.49831942547387353,0.999627760874743,0.9998858930019228,0.001121326266930394
210.0,5.0,10.0,0.003622288571828558,0.010766241342928529,0.007143952771099971,0.9999868790255024,0.9998840880473459,159837.74983755633,161679.6142647691,0.0023664573099272434,0.0023882335746020977,1.2108105132984541,0.0,3,4,3,4,6.633346487113197,0.49831942547387353,0.9996527254190396,0.9998840880473459,0.0010050278900971248
210.0,5.0,15.000000000000002,0.0023116292503611025,0.010847144035311451,0.008535514784950349,0.9999946563702089,0.9998823394662772,159841.3309208233,161687.52011695184,0.0021695850880432575,0.002190858421776991,1.1278917104295563,0.0,3,4,3,4,6.633022143856736,0.49831942547387353,0.999672482292064,0.9998823394662772,0.0009116010433076008
210.0,5.0,20.0,0.0010178660200906298,0.01100247844544383,0.009984612425353201,0.9999989639487652,0.9998789454680576,159839.83850821012,161688.79587826855,0.0019999983185665423,0.002020597725988481,1.0522972118211409,0.0,3,4,3,4,6.632969807805757,0.49831942547387353,0.9996878841613102,0.9998789454680576,0.000829948469324166
210.0,5.0,25.000000000000004,0.00017281687909997956,0.01113442562240663,0.01096160874330665,0.9999999701343263,0.9998760245660591,159835.70434303497,161686.44604654014,0.0018521099173308326,0.0018720533326583954,0.9836734188445637,0.0,3,4,3,4,6.6330662065039085,0.49831942547387353,0.9996990707939168,0.9998760245660591,0.0007686637743419059
210.0,5.0,30.000000000000004,0.0011823578780804644,0.011153672876495158,0.009971314998414693,0.9999986020298481,0.9998755955813642,159830.29245141684,161682.20550469897,0.0017222385371688399,0.0017416081868838974,0.921643000646015,0.0,3,4,3,4,6.63324017614204,0.49831942547387353,0.9997069719315609,0.9998755955813642,0.0007324760876729489
210.0,5.0,35.0,0.002121581387429683,0.011168260018083243,0.00904667863065356,0.9999954988924165,0.9998752699681684,159824.42240818046,161677.15289826092,0.0016077731637521128,0.00162667402796074,0.8656836084924111,0.0,3,4,3,4,6.633447472914766,0.49831942547387353,0.9997122674357493,0.9998752699681684,0.0007080570287468428
210.0,5.0,40.0,0.002999468288215623,0.011180580620920366,0.008181112332704743,0.999991003189988,0.9998749946169792,159818.63051423544,161672.01514686813,0.001506771266483626,0.001525315709173142,0.8153909091974623,0.0,3,4,3,4,6.633658276274655,0.49831942547387353,0.9997153323238877,0.9998749946169792,0.0006935465937275736
220.0,5.0,0.0,0.008442821369955444,0.010872560100464779,0.0024297387305093343,0.999928718767315,0.9998817874368617,149058.96186819414,150792.4568889322,0.0027360663594754695,0.0027686200210582093,1.4531968970558813,0.0,3,4,3,4,7.325205260210421,0.46621062839203725,0.9995224720988881,0.9998817874368617,0.0015609516632849607
220.0,5.0,5.0,0.006062060985889572,0.010931460590001385,0.004869399604111813,0.9999632514166034,0.9998805031693693,148843.5583741294,150530.4040792834,0.0025811956190317977,0.0026021590038728163,1.2929669622335114,0.0,3,4,3,4,7.33795743895752,0.46621062839203725,0.9995916520849595,0.9998805031693693,0.0012547954978412391
220.0,5.0,10.0,0.004569316896028519,0.011010953637098086,0.006441636741069567,0.9999791213431036,0.9998787589000017,148857.67303102664,150552.83745739626,0.0023460564537156245,0.0023672777347093733,1.2015612231876436,0.0,3,4,3,4,7.336864034299168,0.46621062839203725,0.9996215162681399,0.9998787589000017,0.0011174697751396927
